"analysisId","outcomeId","exposureId","z","events","database","look","method"
8,1148,1082,40.6666666666667,110,"Optum",1,"SCCS"
8,624,1082,39,513,"Optum",1,"SCCS"
8,5829,1082,38.6825396825397,23,"Optum",1,"SCCS"
8,5828,1082,39.1606425702811,487,"Optum",1,"SCCS"
8,2453,1082,41.0168067226891,1976,"Optum",1,"SCCS"
8,366,1082,39.983606557377,12,"Optum",1,"SCCS"
8,1122,1082,42.1034482758621,111,"Optum",1,"SCCS"
8,1125,1082,39.4858299595142,51,"Optum",1,"SCCS"
8,1126,1082,39.3225806451613,13,"Optum",1,"SCCS"
9,3073,1082,25.7379679144385,367,"Optum",1,"SCCS"
9,5752,1082,25.5957446808511,51,"Optum",1,"SCCS"
9,5520,1082,20.3675213675214,4,"Optum",1,"SCCS"
9,3072,1082,25.7379679144385,25,"Optum",1,"SCCS"
9,5760,1082,26.3224043715847,34,"Optum",1,"SCCS"
9,609,1082,23.7524752475248,10,"Optum",1,"SCCS"
9,1077,1082,26.9329608938547,94,"Optum",1,"SCCS"
9,5522,1082,27.9017341040462,42,"Optum",1,"SCCS"
9,5754,1082,20.4592274678112,10,"Optum",1,"SCCS"
9,627,1082,26.7777777777778,71,"Optum",1,"SCCS"
9,5639,1082,23.0963855421687,14,"Optum",1,"SCCS"
9,5768,1082,23.330900243309,30,"Optum",1,"SCCS"
9,5761,1082,25.3852242744063,13,"Optum",1,"SCCS"
9,2927,1082,26.7008310249307,1637,"Optum",1,"SCCS"
9,610,1082,20.2765957446809,22,"Optum",1,"SCCS"
10,576,1082,12.6612021857923,7377,"Optum",1,"SCCS"
10,5767,1082,12.4952766531714,27,"Optum",1,"SCCS"
10,2764,1082,12.986013986014,2248,"Optum",1,"SCCS"
10,3019,1082,11.970168612192,140,"Optum",1,"SCCS"
10,611,1082,11.6422250316056,278,"Optum",1,"SCCS"
11,345,1082,47.780487804878,53,"Optum",1,"SCCS"
12,2796,1082,9.29866117404737,65,"Optum",1,"SCCS"
12,622,1082,9.13171225937183,302,"Optum",1,"SCCS"
12,2763,1082,9.52631578947368,869,"Optum",1,"SCCS"
12,2795,1082,9.67235859124867,540,"Optum",1,"SCCS"
12,1075,1082,8.54198473282443,31,"Optum",1,"SCCS"
12,3074,1082,9.84598698481562,166,"Optum",1,"SCCS"
12,3075,1082,9.53740779768177,152,"Optum",1,"SCCS"
12,1079,1082,9.36269430051813,12,"Optum",1,"SCCS"
12,1308,1082,7.96860986547085,20,"Optum",1,"SCCS"
13,3755,1082,4.28262017960909,123,"Optum",1,"SCCS"
13,620,1082,5.07164541590771,3,"Optum",1,"SCCS"
13,5831,1082,4.78703703703704,2,"Optum",1,"SCCS"
13,5830,1082,5.64451827242525,1,"Optum",1,"SCCS"
13,3619,1082,4.60224089635854,355,"Optum",1,"SCCS"
13,1068,1082,4.32197977647685,265,"Optum",1,"SCCS"
13,3892,1082,4.42005420054201,126,"Optum",1,"SCCS"
13,1075,1082,3.83558994197292,31,"Optum",1,"SCCS"
13,5832,1082,4.39665407447383,39,"Optum",1,"SCCS"
13,3599,1082,4.52486187845304,540,"Optum",1,"SCCS"
13,635,1082,4.30503978779841,202,"Optum",1,"SCCS"
13,5827,1082,4.40248514316586,9,"Optum",1,"SCCS"
13,5825,1082,4.33617929562433,192,"Optum",1,"SCCS"
13,601,1082,3.63606861381548,9,"Optum",1,"SCCS"
13,609,1082,3.6882325363338,4,"Optum",1,"SCCS"
13,369,1082,4.35331905781585,196,"Optum",1,"SCCS"
13,3815,1082,4.41418516513265,38,"Optum",1,"SCCS"
13,2823,1082,5.83994528043776,2,"Optum",1,"SCCS"
13,1079,1082,4.17866390471258,12,"Optum",1,"SCCS"
13,3803,1082,4.47345374931582,107,"Optum",1,"SCCS"
13,1308,1082,3.58715596330275,20,"Optum",1,"SCCS"
13,1148,1082,4.89970501474926,25,"Optum",1,"SCCS"
13,624,1082,4.25210084033613,117,"Optum",1,"SCCS"
13,5829,1082,3.48028673835125,7,"Optum",1,"SCCS"
13,5828,1082,4.3276505061268,106,"Optum",1,"SCCS"
13,2453,1082,4.59597090095131,340,"Optum",1,"SCCS"
13,366,1082,5.19578686493185,0,"Optum",1,"SCCS"
13,1122,1082,4.21104742053153,25,"Optum",1,"SCCS"
13,1125,1082,4.50964187327824,16,"Optum",1,"SCCS"
13,1126,1082,3.68384074941452,6,"Optum",1,"SCCS"
14,3073,1082,2.77643504531722,83,"Optum",1,"SCCS"
14,5752,1082,2.14070351758794,9,"Optum",1,"SCCS"
14,5520,1082,3.71475719000471,3,"Optum",1,"SCCS"
14,3072,1082,3.11692054343351,9,"Optum",1,"SCCS"
14,5760,1082,2.24149108589951,5,"Optum",1,"SCCS"
14,609,1082,2.2605151613955,4,"Optum",1,"SCCS"
14,1077,1082,2.78931413414172,23,"Optum",1,"SCCS"
14,5522,1082,2.85951370127364,10,"Optum",1,"SCCS"
14,5754,1082,1.83607487237663,4,"Optum",1,"SCCS"
14,627,1082,2.92618767177071,14,"Optum",1,"SCCS"
14,5639,1082,3.08997955010225,4,"Optum",1,"SCCS"
14,5768,1082,2.84172109104879,7,"Optum",1,"SCCS"
14,5761,1082,1.33590282644242,1,"Optum",1,"SCCS"
14,2927,1082,2.75234521575985,348,"Optum",1,"SCCS"
14,610,1082,2.72300819061802,6,"Optum",1,"SCCS"
15,576,1082,0.817190623296384,1116,"Optum",1,"SCCS"
15,5767,1082,0.830161054172767,6,"Optum",1,"SCCS"
15,2764,1082,0.831501831501831,303,"Optum",1,"SCCS"
15,3019,1082,0.851166234727879,22,"Optum",1,"SCCS"
15,611,1082,0.760873393203029,49,"Optum",1,"SCCS"
1,345,1082,91.5925925925926,225.675,"CCAE",2,"SCCS"
2,2796,1082,18.5694716242661,153,"CCAE",2,"SCCS"
